pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,2023-07-05,93.0,-1.49,6.05,"Riley, Austin",663586,675540,strikeout,swinging_strike,,,,,11,Austin Riley strikes out swinging.,R,R,R,CLE,ATL,S,2.0,,0,2,2023,-0.04,1.55,-1.15,3.51,660670.0,,645277.0,2,8,Top,,,,,666310,,,0.9458217279657154,-135.54612718335665,-4.157223807507014,-0.6720860638993615,27.723136815337995,-12.277163377327703,3.43,1.63,,,,92.9,2224.0,6.0,717486,675540,666310,681807,665926,608070,642708,680757,664702,686823,54.48,,,0.0,1.0,0.0,0.0,,71,3,4-Seam Fastball,0,6,6,0,6,0,6,0,Standard,Standard,192.0,0.002,-0.333
FF,2023-07-05,96.4,1.29,5.75,"Riley, Austin",663586,682120,home_run,hit_into_play,,,,,5,Austin Riley homers (16) on a fly ball to right field.,R,R,L,CLE,ATL,X,,fly_ball,0,1,2023,0.59,1.26,0.16,2.28,,,,0,7,Top,220.11,88.75,,,666310,,,-4.377988125335879,-140.39522895123633,-6.5788237634346896,8.722923853854866,28.77077778288358,-14.269829391029354,3.43,1.63,357.0,96.0,30.0,97.4,2435.0,6.6,717486,682120,666310,681807,665926,608070,642708,680757,664702,686823,53.93,0.234,0.376,2.0,1.0,0.0,3.0,5.0,59,2,4-Seam Fastball,0,5,5,0,6,0,6,0,Standard,Standard,144.0,-0.014,1.038
SI,2023-07-05,94.2,-1.11,6.42,"Riley, Austin",663586,615698,single,hit_into_play,,,,,4,Austin Riley singles on a line drive to right fielder Will Brennan.   Ozzie Albies to 3rd.,R,R,R,CLE,ATL,X,9.0,line_drive,2,0,2023,-1.05,1.07,-0.69,2.6,,,645277.0,1,1,Top,152.64,102.81,,,666310,,,3.428023252680729,-137.10227941523829,-6.6225001308379605,-14.050756687856868,28.326283551986087,-17.386413166149005,3.43,1.63,218.0,79.0,18.0,94.6,1985.0,6.4,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,54.14,0.977,0.921,0.9,1.0,1.0,0.0,4.0,3,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,226.0,-0.061,0.383
SI,2023-07-05,93.6,-1.19,6.37,"Ozuna, Marcell",542303,615698,single,hit_into_play,,,,,1,Marcell Ozuna singles on a line drive to shortstop Amed Rosario.,R,R,R,CLE,ATL,X,6.0,line_drive,1,2,2023,-0.6,1.39,-0.72,3.37,,,,2,3,Top,102.37,148.66,,,666310,,,2.546048684436471,-136.33173309072578,-5.111598292945721,-7.999444553666569,29.174695588536927,-13.921274657474545,3.51,1.74,144.0,89.8,10.0,94.1,2092.0,6.5,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,54.01,0.637,0.573,0.9,1.0,1.0,0.0,4.0,25,5,Sinker,0,5,5,0,5,0,5,0,Standard,Standard,217.0,-0.003,0.164
CU,2023-07-05,82.2,1.58,5.84,"Ozuna, Marcell",542303,682120,single,hit_into_play,,,,,13,Marcell Ozuna singles on a line drive to left fielder Steven Kwan.,R,R,L,CLE,ATL,X,7.0,line_drive,2,2,2023,-0.96,-0.31,-0.94,1.05,,,,2,7,Top,75.86,118.89,,,666310,,,-3.8970003809522784,-119.58748629694212,-3.7154145104014615,-8.383212171749618,23.823515002067253,-34.61569681037998,3.51,1.74,153.0,92.4,11.0,83.0,2319.0,6.9,717486,682120,666310,681807,665926,608070,642708,680757,664702,686823,53.58,0.777,0.704,0.9,1.0,1.0,0.0,4.0,62,5,Curveball,0,6,6,0,6,0,6,0,Standard,Standard,315.0,0.0,0.148
CH,2023-07-05,86.9,-1.53,6.2,"Ozuna, Marcell",542303,615698,field_out,hit_into_play,,,,,4,"Marcell Ozuna grounds out, first baseman David Fry to pitcher Cal Quantrill.   Matt Olson to 3rd.    Sean Murphy to 2nd.",R,R,R,CLE,ATL,X,3.0,ground_ball,2,2,2023,-0.94,0.36,-0.57,2.56,,621566.0,669221.0,1,1,Top,144.38,165.22,,,666310,,,4.2449156197214135,-126.56759323206973,-3.365492982037166,-10.980325019118755,22.7265985920871,-27.87222950235984,3.51,1.74,13.0,61.7,-9.0,87.9,1482.0,6.6,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,53.91,0.069,0.065,0.0,1.0,0.0,0.0,2.0,6,6,Changeup,0,2,2,0,2,0,2,0,Standard,Standard,231.0,0.02,-0.553
FF,2023-07-05,96.5,1.68,6.41,"Ozuna, Marcell",542303,656529,strikeout,called_strike,,,,,4,Marcell Ozuna called out on strikes.,R,R,L,CLE,ATL,S,2.0,,1,2,2023,0.39,0.95,-0.31,2.74,,,669221.0,0,9,Top,,,,,666310,,,-6.265076959354246,-140.4328642180137,-6.492807174093364,6.475322120092401,27.27286189450082,-18.39873179744412,3.61,1.79,,,,98.2,2103.0,6.9,717486,656529,666310,681807,665926,608070,642708,680757,664702,686823,53.59,,,0.0,1.0,0.0,0.0,,77,5,4-Seam Fastball,0,7,7,0,7,0,7,0,Standard,Standard,154.0,0.0,-0.247
FF,2023-07-05,98.6,1.32,5.7,"Ozuna, Marcell",542303,682120,strikeout,swinging_strike,,,,,12,Marcell Ozuna strikes out swinging.,R,R,L,CLE,ATL,S,2.0,,0,2,2023,0.79,1.15,0.17,3.97,621566.0,669221.0,,1,5,Top,,,,,666310,,,-5.0173406949182775,-143.6029565436587,-1.960523566870904,12.023731199725235,32.11615635336754,-16.023749111832238,3.51,1.74,,,,99.7,2392.0,6.8,717486,682120,666310,681807,665926,608070,642708,680757,664702,686823,53.71,,,0.0,1.0,0.0,0.0,,44,3,4-Seam Fastball,0,5,5,0,5,0,5,0,Strategic,Standard,139.0,0.016,-0.587
CU,2023-07-05,82.1,-0.96,6.5,"Murphy, Sean",669221,615698,double,hit_into_play,,,,,5,Sean Murphy doubles (17) on a ground ball to left fielder Steven Kwan.   Matt Olson to 3rd.,R,R,R,CLE,ATL,X,7.0,ground_ball,1,2,2023,0.28,-0.37,-0.14,2.7,,,621566.0,1,5,Top,49.64,122.38,,,666310,,,1.303257502392569,-119.67322801848556,-1.3835714537962964,2.46642665698729,22.584234821966174,-35.64187384598891,3.41,1.64,91.0,109.7,3.0,82.2,2387.0,6.2,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,54.3,0.614,0.565,1.25,1.0,1.0,1.0,4.0,43,4,Curveball,0,5,5,0,5,0,5,0,Standard,Standard,91.0,-0.017,1.029
CH,2023-07-05,85.7,-1.33,6.25,"Murphy, Sean",669221,615698,home_run,hit_into_play,,,,,5,Sean Murphy homers (15) on a fly ball to left field.,R,R,R,CLE,ATL,X,,fly_ball,2,2,2023,-0.93,0.46,0.1,2.35,,,,2,3,Top,18.84,83.4,,,666310,,,5.2719080437942845,-124.7363089792761,-3.934373548456159,-10.71242134402355,23.468466731669974,-26.74932061693899,3.41,1.64,387.0,109.4,23.0,86.5,1425.0,6.6,717486,615698,666310,681807,665926,608070,642708,680757,664702,686823,53.88,0.974,1.844,2.0,1.0,0.0,3.0,6.0,24,5,Changeup,0,4,4,0,5,0,5,0,Standard,Standard,231.0,-0.051,1.016
